                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6818,                 1.5324,                 1.3597,                0.90119,                0.79103,                0.88877,                0.50023,                 1.5212,                0.92487,                 1.2857,              0.0033236,              0.0033236,              0.0033236
                      2,                 1.5439,                0.90426,                 1.2596,                0.83664,                0.78218,                0.85824,                0.46114,                 1.5363,                 0.9593,                  1.332,               0.006624,               0.006624,               0.006624
                      3,                 1.6032,                  1.026,                 1.3013,                0.79405,                0.80469,                 0.8445,                 0.4617,                 1.5316,                 1.1174,                 1.3033,              0.0098913,              0.0098913,              0.0098913
                      4,                 1.6252,                 1.0502,                 1.3167,                0.85209,                0.79398,                0.86045,                0.47205,                 1.5637,                 1.0174,                 1.3281,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.5982,                0.99868,                 1.3095,                0.87919,                 0.8041,                0.89503,                0.49983,                 1.5258,                0.90536,                 1.3123,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.5709,                0.94197,                 1.2874,                 0.9043,                0.89069,                0.94573,                0.54725,                 1.4759,                0.78644,                 1.2937,               0.009802,               0.009802,               0.009802
                      7,                 1.5493,                0.91685,                 1.2806,                0.90802,                0.88238,                0.94169,                0.54387,                 1.4698,                0.77687,                 1.2907,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.5283,                0.88237,                 1.2716,                0.91111,                0.89711,                0.94624,                0.53411,                  1.492,                0.74911,                 1.3046,               0.009703,               0.009703,               0.009703
                      9,                 1.5078,                0.86068,                 1.2634,                0.94296,                0.91683,                0.95639,                0.57739,                 1.4083,                0.68045,                 1.2467,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.4964,                0.82682,                 1.2479,                 0.9459,                 0.9278,                0.97041,                0.58247,                 1.3994,                0.66605,                 1.2379,               0.009604,               0.009604,               0.009604
                     11,                 1.4883,                0.82099,                 1.2513,                0.94592,                0.93526,                0.97125,                0.60002,                 1.3628,                0.65373,                 1.2304,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.4674,                0.80071,                 1.2405,                0.95481,                0.93719,                0.97494,                0.60126,                 1.3676,                 0.6283,                 1.2314,               0.009505,               0.009505,               0.009505
                     13,                 1.4672,                0.78601,                 1.2406,                0.94641,                0.92554,                0.96686,                0.59791,                 1.3483,                0.64008,                 1.2147,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.4408,                0.76546,                 1.2155,                0.95725,                0.93386,                0.97214,                0.59426,                 1.3642,                 0.6362,                 1.2251,               0.009406,               0.009406,               0.009406
                     15,                 1.4262,                0.75496,                 1.2153,                0.94504,                0.92752,                0.97012,                0.60464,                 1.3374,                0.63837,                 1.2075,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.4266,                0.74581,                 1.2233,                0.96057,                0.95564,                0.98112,                0.62026,                 1.3199,                0.58389,                 1.1917,               0.009307,               0.009307,               0.009307
                     17,                 1.4174,                0.73743,                 1.2028,                0.95718,                0.94725,                 0.9774,                0.61681,                 1.3338,                0.59542,                 1.1918,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.4182,                0.73807,                 1.2038,                0.95279,                0.95108,                0.98069,                  0.628,                 1.3077,                0.57962,                 1.1948,               0.009208,               0.009208,               0.009208
                     19,                 1.4011,                 0.7215,                 1.2034,                0.96698,                0.95104,                0.98311,                0.64365,                 1.2703,                0.56006,                 1.1741,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.3919,                0.71829,                 1.1952,                0.96392,                0.95446,                0.98458,                0.63729,                 1.2777,                0.55918,                 1.1733,               0.009109,               0.009109,               0.009109
                     21,                 1.3851,                0.70096,                 1.1914,                0.96362,                0.95208,                0.98402,                0.64452,                 1.2519,                  0.557,                 1.1675,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.3789,                0.69837,                 1.1851,                0.97011,                0.96673,                0.98645,                 0.6545,                 1.2532,                0.53214,                 1.1596,                0.00901,                0.00901,                0.00901
                     23,                 1.3688,                 0.6805,                 1.1786,                0.97157,                0.96198,                0.98747,                 0.6449,                 1.2585,                0.53714,                  1.154,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.3543,                0.67967,                 1.1784,                0.97139,                0.96198,                 0.9874,                0.65796,                  1.234,                0.53042,                 1.1648,               0.008911,               0.008911,               0.008911
                     25,                 1.3541,                0.67467,                 1.1724,                0.96415,                0.95446,                0.98417,                0.65474,                 1.2349,                0.53395,                 1.1349,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.3494,                0.66476,                 1.1685,                  0.972,                0.96246,                0.98944,                0.66271,                 1.2179,                0.52366,                 1.1392,               0.008812,               0.008812,               0.008812
                     27,                 1.3366,                0.65704,                 1.1583,                0.96542,                0.96199,                0.98757,                0.67002,                  1.192,                0.51588,                 1.1178,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.3286,                0.65954,                 1.1625,                0.96294,                0.97767,                0.98914,                0.66596,                 1.1917,                0.51124,                 1.1204,               0.008713,               0.008713,               0.008713
                     29,                 1.3137,                0.64646,                 1.1543,                0.97758,                0.96714,                0.98894,                0.67626,                 1.1799,                0.48979,                 1.1219,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.2983,                 0.6339,                 1.1462,                0.97266,                0.97207,                0.98984,                0.67904,                 1.1797,                0.48491,                 1.1139,               0.008614,               0.008614,               0.008614
                     31,                  1.313,                 0.6389,                 1.1574,                0.97304,                 0.9699,                0.98949,                0.68048,                 1.1684,                0.48614,                 1.1263,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.2887,                0.63036,                 1.1445,                0.97383,                0.97268,                0.98978,                0.68942,                 1.1521,                0.47167,                 1.1049,               0.008515,               0.008515,               0.008515
                     33,                 1.2922,                 0.6218,                 1.1426,                0.97422,                0.97426,                0.98924,                0.68509,                 1.1473,                0.47465,                 1.1115,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.2886,                0.62685,                 1.1366,                0.97416,                0.97036,                0.98938,                0.69049,                 1.1382,                0.46672,                  1.098,               0.008416,               0.008416,               0.008416
                     35,                 1.2766,                0.61366,                 1.1375,                0.97735,                0.97545,                0.98942,                0.69998,                 1.1244,                0.45948,                 1.0952,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.2733,                0.61285,                 1.1362,                0.98121,                0.97198,                0.99154,                0.69788,                 1.1317,                0.46082,                 1.0972,               0.008317,               0.008317,               0.008317
                     37,                 1.2649,                0.60906,                 1.1306,                0.97123,                0.97149,                0.98966,                0.69761,                 1.1245,                 0.4633,                 1.0991,              0.0082675,              0.0082675,              0.0082675
                     38,                  1.261,                 0.6108,                 1.1334,                0.96669,                0.97901,                0.98973,                0.70467,                 1.1064,                0.45877,                 1.0957,               0.008218,               0.008218,               0.008218
                     39,                 1.2541,                  0.607,                 1.1271,                 0.9803,                0.97663,                 0.9907,                0.70369,                 1.1007,                0.45141,                 1.0804,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.2509,                0.59877,                 1.1263,                0.97706,                 0.9798,                0.99109,                0.70736,                 1.0972,                0.44573,                 1.0859,               0.008119,               0.008119,               0.008119
                     41,                  1.246,                 0.5934,                 1.1226,                0.97672,                 0.9802,                 0.9916,                0.71542,                 1.0762,                0.43602,                 1.0762,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.2355,                0.58608,                 1.1175,                0.97948,                0.98286,                0.99089,                0.71439,                 1.0753,                0.43378,                 1.0647,                0.00802,                0.00802,                0.00802
                     43,                  1.233,                0.58287,                 1.1158,                0.97871,                0.98305,                0.99153,                0.71865,                 1.0672,                 0.4267,                 1.0681,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.2242,                0.58413,                 1.1096,                0.98058,                0.98011,                0.99197,                0.72269,                 1.0569,                0.42594,                 1.0641,               0.007921,               0.007921,               0.007921
                     45,                 1.2176,                0.58056,                 1.1089,                0.98094,                0.97901,                0.99315,                0.72461,                 1.0477,                0.41835,                 1.0584,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.2183,                0.57409,                 1.1091,                0.97982,                 0.9807,                0.99205,                0.73079,                 1.0262,                 0.4187,                 1.0491,               0.007822,               0.007822,               0.007822
                     47,                 1.2023,                0.56946,                 1.1056,                0.98387,                0.98416,                0.99254,                0.72884,                 1.0224,                0.41501,                 1.0567,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.1944,                0.56461,                  1.099,                0.98649,                0.98301,                0.99258,                 0.7387,                 1.0111,                 0.4044,                 1.0427,               0.007723,               0.007723,               0.007723
                     49,                 1.1924,                0.56376,                 1.0988,                0.98259,                0.98455,                0.99247,                0.74081,                0.99826,                0.39997,                 1.0377,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.1865,                0.56429,                 1.0955,                0.98806,                0.98308,                0.99335,                0.74595,                0.98254,                 0.3974,                 1.0291,               0.007624,               0.007624,               0.007624
                     51,                 1.1798,                0.55297,                 1.0933,                0.98659,                0.98337,                0.99339,                0.74555,                0.98959,                0.39416,                 1.0348,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.1766,                0.55372,                 1.0913,                 0.9859,                0.98257,                0.99314,                0.74935,                0.97251,                0.38583,                 1.0254,               0.007525,               0.007525,               0.007525
                     53,                 1.1756,                0.55254,                 1.0889,                0.98436,                0.98376,                0.99285,                0.74654,                0.98065,                0.39177,                 1.0297,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.1679,                0.54623,                 1.0832,                0.98615,                0.98717,                0.99347,                0.75429,                0.96024,                0.38384,                 1.0192,               0.007426,               0.007426,               0.007426
                     55,                 1.1701,                0.54823,                 1.0866,                 0.9866,                0.98416,                0.99302,                0.75488,                0.95542,                0.38474,                 1.0187,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.1562,                0.54596,                 1.0836,                0.98796,                0.98574,                0.99361,                0.75891,                0.94654,                0.37705,                 1.0178,               0.007327,               0.007327,               0.007327
